Ia,Ib,VDC,IDC,T1,T2,T3,VD,FDD
1.0019550342130978,-6.036168132942326,-21.994134897360684,-0.268817204301075,-7.236463314063371,-6.429493180928262,-5.765800719516335,-7.331378299120228,F0
1.050830889540566,-6.036168132942326,-21.994134897360684,-0.1710654936461386,-6.208631766616747,-6.429493180928262,-5.395568651746942,-7.331378299120228,F0
1.050830889540566,-5.987292277614857,-21.994134897360684,-0.2199413489736068,-7.163275021530126,-6.503035550018524,-5.765800719516335,-17.106549364613866,F0
1.0997067448680342,-5.938416422287389,-21.994134897360684,-0.2199413489736068,-6.355912157653279,-6.429493180928262,-5.543798536225893,-12.218963831867049,F0
1.0019550342130978,-5.938416422287389,-17.106549364613866,-0.3176930596285432,-7.236463314063371,-6.72343666466179,-5.765800719516335,-7.331378299120228,F0
1.0019550342130978,-5.938416422287389,-17.106549364613866,-0.2199413489736068,-7.163275021530126,-6.429493180928262,-5.765800719516335,-12.218963831867049,F0
1.0997067448680342,-5.889540566959921,-21.994134897360684,-0.2199413489736068,-7.163275021530126,-6.503035550018524,-5.691844863165102,-7.331378299120228,F0
1.0019550342130978,-5.889540566959921,-26.881720430107503,-0.268817204301075,-7.163275021530126,-6.503035550018524,-5.691844863165102,2.4437927663734094,F0
0.9530791788856297,-5.7429130009775164,-26.881720430107503,-0.268817204301075,-7.163275021530126,-6.061189599757142,-5.691844863165102,-7.331378299120228,F0
1.0019550342130978,-5.938416422287389,-17.106549364613866,-0.3176930596285432,-7.163275021530126,-6.503035550018524,-5.691844863165102,-7.331378299120228,F0
1.050830889540566,-5.987292277614857,-17.106549364613866,-0.268817204301075,-7.163275021530126,-6.355912157653279,-5.765800719516335,-12.218963831867049,F0
1.0019550342130978,-5.889540566959921,-17.106549364613866,-0.268817204301075,-7.163275021530126,-6.429493180928262,-5.765800719516335,-17.106549364613866,F0
1.050830889540566,-5.987292277614857,-26.881720430107503,-0.7575757575757569,-7.163275021530126,-6.134931204581619,-5.691844863165102,-2.4437927663734094,F0
1.0019550342130978,-6.133919843597262,-17.106549364613866,-0.1710654936461386,-7.090053960460011,-6.503035550018524,-5.765800719516335,-12.218963831867049,F0
1.0997067448680342,-5.987292277614857,-17.106549364613866,-0.268817204301075,-7.163275021530126,-6.503035550018524,-5.691844863165102,-12.218963831867049,F0
1.0997067448680342,-5.987292277614857,-17.106549364613866,-0.3176930596285432,-7.236463314063371,-6.429493180928262,-5.765800719516335,-7.331378299120228,F0
0.9530791788856297,-6.036168132942326,-26.881720430107503,-0.2199413489736068,-7.163275021530126,-6.503035550018524,-6.9435111973090216,-7.331378299120228,F0
1.1485826001955024,-6.036168132942326,-17.106549364613866,-0.268817204301075,-6.650006699880407,-6.503035550018524,-5.691844863165102,-12.218963831867049,F0
1.0019550342130978,-6.036168132942326,-21.994134897360684,-0.268817204301075,-7.236463314063371,-6.503035550018524,-5.765800719516335,-12.218963831867049,F0
1.0997067448680342,-5.987292277614857,-21.994134897360684,-0.268817204301075,-7.016799547260746,-6.503035550018524,-5.617844338593613,-12.218963831867049,F0
1.0997067448680342,-5.840664711632453,-21.994134897360684,-0.3176930596285432,-7.163275021530126,-6.503035550018524,-5.691844863165102,-12.218963831867049,F0
1.050830889540566,-5.791788856304985,-12.218963831867049,-0.1710654936461386,-7.163275021530126,-5.839712515648671,-5.765800719516335,-12.218963831867049,F0
1.0019550342130978,-5.840664711632453,-21.994134897360684,-0.268817204301075,-7.163275021530126,-6.576539858796593,-5.691844863165102,-12.218963831867049,F0
1.0019550342130978,-5.889540566959921,-21.994134897360684,-0.2199413489736068,-7.163275021530126,-6.503035550018524,-5.691844863165102,-12.218963831867049,F0
1.0997067448680342,-5.987292277614857,-17.106549364613866,-0.268817204301075,-7.163275021530126,-6.429493180928262,-5.691844863165102,-12.218963831867049,F0
1.050830889540566,-6.036168132942326,-21.994134897360684,-0.268817204301075,-7.236463314063371,-6.134931204581619,-5.691844863165102,-7.331378299120228,F0
1.050830889540566,-6.036168132942326,-26.881720430107503,-0.2199413489736068,-7.382743922898214,-6.429493180928262,-6.355912157653279,-12.218963831867049,F0
1.0019550342130978,-6.085043988269794,-12.218963831867049,-0.2199413489736068,-7.163275021530126,-6.429493180928262,-5.691844863165102,-12.218963831867049,F0
1.050830889540566,-6.085043988269794,-26.881720430107503,-0.268817204301075,-7.601933605693205,-6.503035550018524,-5.98740635156986,-12.218963831867049,F0
1.050830889540566,-6.133919843597262,-17.106549364613866,-0.2199413489736068,-7.163275021530126,-6.429493180928262,-5.691844863165102,-12.218963831867049,F0
